model,condition,head,n,auroc_ovr_macro,auprc_macro
spatiotemporal,test_clean,action,9424,0.9967039214952892,0.9674533439261581
attention_bias,test_clean,action,9424,0.9960181669276795,0.9607353793530816
NoOcc,test_clean,action,9424,0.9957501409162198,0.9455051662065105
hgnet_task_gated_late,test_clean,action,9424,0.9955453447981071,0.9522534281775829
task_region_scalar_gated_late,test_clean,action,9424,0.995488473416561,0.9602461894712431
dmd_original,test_clean,action,9417,0.9949633207564058,0.938944816028138
hgnet_task_region_scalar_gated_late,test_clean,action,9424,0.9949398983039536,0.9528316654665204
task_gated_late,test_clean,action,9424,0.9948436072550009,0.9546539756802123
skateformer,test_clean,action,9424,0.9945690073674609,0.9269842852840434
pose_guided,test_clean,action,9424,0.9942759722514632,0.9491383730017116
hgnet_explicit_region_scalar_mask_gate,test_clean,action,9424,0.9941609243833955,0.9499895091180981
dfs,test_clean,action,9417,0.9915758087271029,0.9260134208287966
DriveAct,test_clean,action,9417,0.9911722924437602,0.9205877652000517
spatiotemporal,test_masked,action,5949,0.9961155659869217,0.9603427637066538
attention_bias,test_masked,action,5949,0.9956275323838284,0.9562001194841283
hgnet_task_gated_late,test_masked,action,5949,0.9946962685977753,0.9427403392302114
hgnet_task_region_scalar_gated_late,test_masked,action,5949,0.9945088117415334,0.9467618962274486
task_region_scalar_gated_late,test_masked,action,5949,0.9944175472935075,0.9477271270402124
NoOcc,test_masked,action,5949,0.9943542859797906,0.9326164725808206
task_gated_late,test_masked,action,5949,0.9943183154099415,0.9472223922370392
dmd_original,test_masked,action,5950,0.9937309804833968,0.932101672304885
pose_guided,test_masked,action,5949,0.993682914324472,0.9410963215912655
hgnet_explicit_region_scalar_mask_gate,test_masked,action,5949,0.9936037894366863,0.944729302671854
skateformer,test_masked,action,5949,0.9925750868208422,0.9175309644972255
dfs,test_masked,action,5950,0.9899257992620385,0.9155751863277853
DriveAct,test_masked,action,5950,0.9896595250698048,0.9203931584508986
task_gated_late,test_clean,gaze,514,0.9392775216659631,0.6823903911323332
hgnet_task_region_scalar_gated_late,test_clean,gaze,514,0.9332669142318338,0.6988030098994488
hgnet_explicit_region_scalar_mask_gate,test_clean,gaze,514,0.9330578923199655,0.7084760628887141
DriveAct,test_clean,gaze,514,0.928513775502045,0.6712372248814815
hgnet_task_gated_late,test_clean,gaze,514,0.9261368597971918,0.6570550518738547
attention_bias,test_clean,gaze,514,0.9223607700036011,0.6431031715311134
spatiotemporal,test_clean,gaze,514,0.9222695366710241,0.6774326009673484
skateformer,test_clean,gaze,514,0.9162326167201775,0.6601635328058498
dfs,test_clean,gaze,514,0.9107383322527378,0.6107083724560953
pose_guided,test_clean,gaze,514,0.9099727711422765,0.6430965676405583
NoOcc,test_clean,gaze,514,0.9094623037179477,0.6352219538591609
task_region_scalar_gated_late,test_clean,gaze,514,0.9074520943137229,0.6213395747190482
dmd_original,test_clean,gaze,514,0.8955704156310923,0.6023141063811361
task_gated_late,test_masked,gaze,374,0.9106662765271388,0.6156892133383993
hgnet_explicit_region_scalar_mask_gate,test_masked,gaze,374,0.9054512800008614,0.6428374570154798
DriveAct,test_masked,gaze,374,0.8972723498105769,0.5731049027499173
hgnet_task_region_scalar_gated_late,test_masked,gaze,374,0.8965976674065512,0.6109592361600249
pose_guided,test_masked,gaze,374,0.895493353750457,0.5992297550991589
task_region_scalar_gated_late,test_masked,gaze,374,0.886212789836297,0.583321606736156
NoOcc,test_masked,gaze,374,0.8820613216512282,0.6213734497818233
skateformer,test_masked,gaze,374,0.8806519516463704,0.6052537867693899
hgnet_task_gated_late,test_masked,gaze,374,0.8785718304925576,0.5585964126339708
attention_bias,test_masked,gaze,374,0.8718423193977183,0.5689930854620938
spatiotemporal,test_masked,gaze,374,0.8675557155272966,0.5669093645172949
dmd_original,test_masked,gaze,374,0.8597343696043316,0.5211921335139008
dfs,test_masked,gaze,374,0.8536444138646573,0.5347145922033297
skateformer,test_clean,hands,9558,0.9623083123429867,0.742823347686439
hgnet_task_gated_late,test_clean,hands,9558,0.9468757310782532,0.7381811488470478
dmd_original,test_clean,hands,9643,0.9447030773481053,0.7372016495101719
spatiotemporal,test_clean,hands,9558,0.9444735984305532,0.7406736322086706
attention_bias,test_clean,hands,9558,0.9396415469327231,0.7334419491360552
NoOcc,test_clean,hands,9558,0.9342526638852641,0.7331855831092868
hgnet_task_region_scalar_gated_late,test_clean,hands,9558,0.9334695929973345,0.7410821644259964
pose_guided,test_clean,hands,9558,0.9332858208280734,0.7301105765815225
dfs,test_clean,hands,9643,0.9319243707379428,0.7198471929338688
hgnet_explicit_region_scalar_mask_gate,test_clean,hands,9558,0.9301375633818331,0.740949172164319
task_gated_late,test_clean,hands,9558,0.9184907667023849,0.7347752275058033
task_region_scalar_gated_late,test_clean,hands,9558,0.9079241919168843,0.7295436498022095
DriveAct,test_clean,hands,9643,0.9079097310953803,0.7225361636044824
dmd_original,test_masked,hands,6138,0.9498724516730087,0.737061885188492
skateformer,test_masked,hands,6059,0.9492079095458492,0.7360546799440965
hgnet_task_gated_late,test_masked,hands,6059,0.9354849864048493,0.7376143335510357
spatiotemporal,test_masked,hands,6059,0.9304175819709795,0.7362850262256381
pose_guided,test_masked,hands,6059,0.9228112485697197,0.7376849632359649
dfs,test_masked,hands,6138,0.9209049383822181,0.7203623864073997
attention_bias,test_masked,hands,6059,0.9193390550760002,0.7326624997479253
hgnet_task_region_scalar_gated_late,test_masked,hands,6059,0.9192291319695445,0.7502266511238324
NoOcc,test_masked,hands,6059,0.9152565298030317,0.7487830225932622
hgnet_explicit_region_scalar_mask_gate,test_masked,hands,6059,0.9147002937617394,0.7483531342009563
task_gated_late,test_masked,hands,6059,0.9062215686755496,0.7362037334343388
DriveAct,test_masked,hands,6138,0.9060161139718353,0.7182388588992618
task_region_scalar_gated_late,test_masked,hands,6059,0.8838858703178745,0.7327536109244772
hgnet_task_gated_late,test_clean,talk,9424,0.8354526126420803,0.5894637909340703
spatiotemporal,test_clean,talk,9424,0.8346623181376849,0.5693933930323174
dmd_original,test_clean,talk,9417,0.8297158077975888,0.5677280599813292
skateformer,test_clean,talk,9424,0.828866962176774,0.5531095555756989
pose_guided,test_clean,talk,9424,0.8282733160670462,0.5661940213555503
hgnet_explicit_region_scalar_mask_gate,test_clean,talk,9424,0.8268235812178136,0.5653933400130434
attention_bias,test_clean,talk,9424,0.826794531888116,0.5353256410770928
task_gated_late,test_clean,talk,9424,0.8260662132033992,0.55572905083817
hgnet_task_region_scalar_gated_late,test_clean,talk,9424,0.8257277841065566,0.565445762000368
dfs,test_clean,talk,9417,0.8249206823784507,0.5591158287717607
NoOcc,test_clean,talk,9424,0.8201200885778388,0.527526592188556
task_region_scalar_gated_late,test_clean,talk,9424,0.8195297028074401,0.5564742187114184
DriveAct,test_clean,talk,9417,0.8189961261073061,0.5429550764166393
hgnet_task_gated_late,test_masked,talk,5949,0.8364415865601823,0.5742437634753655
dmd_original,test_masked,talk,5950,0.8332571275480093,0.5857800268342573
spatiotemporal,test_masked,talk,5949,0.8323548815721491,0.580676004914608
task_gated_late,test_masked,talk,5949,0.8316735709999467,0.5760584307588013
dfs,test_masked,talk,5950,0.8304575562614263,0.5746391566207156
DriveAct,test_masked,talk,5950,0.8244633980801335,0.5664590946231569
hgnet_explicit_region_scalar_mask_gate,test_masked,talk,5949,0.8235076185147342,0.5679813238103667
attention_bias,test_masked,talk,5949,0.8233142305722951,0.5410440916935059
pose_guided,test_masked,talk,5949,0.8206196146779638,0.5487052258313687
hgnet_task_region_scalar_gated_late,test_masked,talk,5949,0.8204315845444877,0.5651115086491032
skateformer,test_masked,talk,5949,0.8199391005368234,0.5632394664781144
NoOcc,test_masked,talk,5949,0.8194466889319831,0.5319021179440115
task_region_scalar_gated_late,test_masked,talk,5949,0.8139656503627092,0.5468004619456792
